
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2000-08-01,,"Barcelona / El Prat (BCN/LEBL)","Tunis / Tunis Carthage (TUN/DTTA)",00:00:00,00:00:00,01:24:00," (/)"," ()",,,0,0,1,,239,3044,0,0
2000-08-15,,"Tunis / Tunis Carthage (TUN/DTTA)","Barcelona / El Prat (BCN/LEBL)",00:00:00,00:00:00,01:24:00," (/)"," ()",,,0,0,1,,3044,239,0,0
2005-07-01,,"Belfast / Aldergrove (BFS/EGAA)","Barcelona / El Prat (BCN/LEBL)",00:00:00,00:00:00,02:25:00," (/)"," ()",,,0,0,1,,280,239,0,0
2005-09-01,,"Barcelona / El Prat (BCN/LEBL)","Belfast / Aldergrove (BFS/EGAA)",00:00:00,00:00:00,02:25:00," (/)"," ()",,,0,0,1,,239,280,0,0
2005-10-01,,"Belfast / Belfast City (BHD/EGAC)","Edinburgh / Edinburgh (EDI/EGPH)",00:00:00,00:00:00,00:32:00,"Easyjet (U2/EZY)","Airbus A320 (A320)",,,0,0,4,,294,785,291,27
2006-07-01,,"Edinburgh / Edinburgh (EDI/EGPH)","Barcelona / El Prat (BCN/LEBL)",00:00:00,00:00:00,02:30:00," (/)"," ()",,,0,0,1,,785,239,0,0
2006-09-01,,"Barcelona / El Prat (BCN/LEBL)","Edinburgh / Edinburgh (EDI/EGPH)",00:00:00,00:00:00,02:30:00," (/)"," ()",,,0,0,1,,239,785,0,0
2007-07-10,"GSM 401","Edinburgh / Edinburgh (EDI/EGPH)","Barcelona / El Prat (BCN/LEBL)",11:00:00,14:50:00,02:50:00,"Flyglobespan (Y2/GSM)","Boeing 737-700 (B737)",,,1,1,4,,785,239,1230,230
2006-08-01,,"Barcelona / El Prat (BCN/LEBL)","Bari / Palese Macchie (BRI/LIBD)",00:00:00,00:00:00,01:54:00," (/)"," ()",,,0,0,1,,239,396,0,0
2006-08-15,,"Bari / Palese Macchie (BRI/LIBD)","Barcelona / El Prat (BCN/LEBL)",00:00:00,00:00:00,01:54:00," (/)"," ()",,,0,0,1,,396,239,0,0
2009-07-04,"JK 033","Barcelona / El Prat (BCN/LEBL)","Copenhagen / Kastrup (CPH/EKCH)",10:35:00,13:30:00,02:55:00,"Spanair (JK/JKK)"," ()",,,0,0,1,,239,606,415,0
2009-07-11,"JK 034","Copenhagen / Kastrup (CPH/EKCH)","Barcelona / El Prat (BCN/LEBL)",14:20:00,17:10:00,02:50:00,"Spanair (JK/JKK)"," ()",,,0,0,1,,606,239,415,0
2008-07-03,"GSM 402","Barcelona / El Prat (BCN/LEBL)","Edinburgh / Edinburgh (EDI/EGPH)",13:35:00,15:15:00,02:40:00,"Flyglobespan (Y2/GSM)","Boeing 737-700 (B737)",,,0,1,1,,239,785,1230,230
2008-07-29,"GSM 401","Edinburgh / Edinburgh (EDI/EGPH)","Barcelona / El Prat (BCN/LEBL)",09:00:00,12:40:00,02:40:00,"Flyglobespan (Y2/GSM)","Boeing 737-700 (B737)",,,0,1,1,,785,239,1230,230
2009-08-01,,"Barcelona / El Prat (BCN/LEBL)","Edinburgh / Edinburgh (EDI/EGPH)",00:00:00,00:00:00,02:30:00,"Flyglobespan (Y2/GSM)"," ()",,,0,0,1,,239,785,1230,0
2009-08-15,,"Edinburgh / Edinburgh (EDI/EGPH)","Barcelona / El Prat (BCN/LEBL)",00:00:00,00:00:00,02:30:00,"Flyglobespan (Y2/GSM)"," ()",,,0,0,1,,785,239,1230,0
2011-08-03,"JK 6464","Barcelona / El Prat (BCN/LEBL)","La Coruna / La Coruna (LCG/LECO)",07:00:00,08:26:00,01:26:00,"Spanair (JK/JKK)","McDonnell Douglas MD-82 (MD82)",,6A,1,1,1,,239,1576,415,1186
2011-08-15,JK6475,"La Coruna / La Coruna (LCG/LECO)","Barcelona / El Prat (BCN/LEBL)",21:25:00,22:55:00,01:30:00,"Spanair (JK/JKK)","McDonnell Douglas MD-82 (MD82)",,,0,1,1,,1576,239,415,1186
2015-08-07,"DY 5152","Barcelona / El Prat (BCN/LEBL)","Berlin / Schonefeld (SXF/EDDB)",08:55:00,11:10:00,02:15:00,"Norwegian Air Shuttle (DY/NAX)","Boeing 737-800 (B738)",,21A,1,1,1,,239,2828,552,231
2015-08-23,"4U 8526","Berlin / Tegel (TXL/EDDT)","Barcelona / El Prat (BCN/LEBL)",11:00:00,13:20:00,02:20:00,"Germanwings (4U/GWI)","Airbus A320 (A320)",,3A,1,1,1,,3055,239,951,27
2016-01-31,"VY 8656","Barcelona / El Prat (BCN/LEBL)","Prague / Praha-Ruzyne (PRG/LKPR)",12:20:00,14:30:00,02:10:00,"Vueling Airlines (VY/VLG)","Airbus A320 (A320)",,10A,1,1,1,,239,2398,839,27
2016-02-08,"VY 8657","Prague / Praha-Ruzyne (PRG/LKPR)","Barcelona / El Prat (BCN/LEBL)",15:30:00,17:35:00,02:05:00,"Vueling Airlines (VY/VLG)","Airbus A320 (A320)",,9F,1,1,1,,2398,239,839,27
2004-09-01,,"Reus / Reus (REU/LERS)","Belfast / Aldergrove (BFS/EGAA)",00:00:00,00:00:00,02:24:00,"Jet2.com (LS/EXS)","Boeing 737-700 (B737)",,,0,1,4,,2505,280,286,230
2007-04-08,"GSM 401","Edinburgh / Edinburgh (EDI/EGPH)","Barcelona / El Prat (BCN/LEBL)",13:30:00,17:05:00,02:35:00,"Flyglobespan (Y2/GSM)","Boeing 737-700 (B737)",,,1,1,1,,785,239,1230,230
2007-04-18,"GSM 402","Barcelona / El Prat (BCN/LEBL)","Edinburgh / Edinburgh (EDI/EGPH)",13:35:00,15:15:00,02:40:00,"Flyglobespan (Y2/GSM)","Boeing 737-700 (B737)",,,1,1,1,,239,785,1230,230
2016-08-17,VY8710,"Barcelona / El Prat (BCN/LEBL)","Vienna / Schwechat (VIE/LOWW)",12:00:00,14:20:00,02:20:00,"Vueling Airlines (VY/VLG)","Airbus A320 (A320)",EC-LZZ,22A,1,1,1,,239,3179,839,27
2016-09-04,HG8952,"Vienna / Schwechat (VIE/LOWW)","Barcelona / El Prat (BCN/LEBL)",17:25:00,19:40:00,02:15:00,"Niki (flyNiki) (HG/NLY)","Airbus A320 (A320)",OE-LEL,4E,2,1,1,,3179,239,566,27
2017-02-08,FR6305,"Barcelona / El Prat (BCN/LEBL)","Bergamo / Orio Al Serio (BGY/LIME)",13:40:00,15:25:00,01:45:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-DHG,1B,2,1,1,,239,293,668,231
2017-02-11,FR6366,"Bergamo / Orio Al Serio (BGY/LIME)","Barcelona / El Prat (BCN/LEBL)",21:50:00,23:30:00,01:40:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-DPX,24A,1,1,1,,293,239,668,231
2017-08-02,VY8656,"Barcelona / El Prat (BCN/LEBL)","Prague / Praha-Ruzyne (PRG/LKPR)",18:05:00,20:30:00,02:25:00,"Vueling Airlines (VY/VLG)","Airbus A320 (A320)",EC-LQZ,27F,1,1,1,,239,2398,839,27
2017-08-09,VY8653,"Prague / Praha-Ruzyne (PRG/LKPR)","Barcelona / El Prat (BCN/LEBL)",13:35:00,16:00:00,02:25:00,"Vueling Airlines (VY/VLG)","Airbus A320 (A320)",EC-MES,19C,3,1,1,,2398,239,839,27
2017-08-14,D85620,"Barcelona / El Prat (BCN/LEBL)","Helsinki / Vantaa (HEL/EFHK)",08:00:00,13:00:00,04:00:00,"Norwegian Air International (D8/IBK)","Boeing 737-800 (B738)",EI-FJT,26A,1,1,4,,239,1110,1644,231
2017-12-21,D85621,"Helsinki / Vantaa (HEL/EFHK)","Barcelona / El Prat (BCN/LEBL)",20:30:00,23:25:00,03:55:00,"Norwegian Air International (D8/IBK)","Boeing 737-800 (B738)",EI-FJB,27A,1,1,4,,1110,239,1644,231
2017-12-15,AY913,"Helsinki / Vantaa (HEL/EFHK)","Oslo / Gardermoen (OSL/ENGM)",12:10:00,12:40:00,01:30:00,"Nordic Regional Airlines / Norra (N7/FIN)","Airbus A319 (A319)",OH-LVB,21A,1,1,1,,1110,2219,2352,26
2017-12-17,AY918,"Oslo / Gardermoen (OSL/ENGM)","Helsinki / Vantaa (HEL/EFHK)",20:20:00,22:45:00,01:25:00,"Nordic Regional Airlines / Norra (N7/FIN)","Airbus A320 (A320)",OH-LXD,25A,1,1,1,,2219,1110,2352,27
2018-01-22,FR8394,"Barcelona / El Prat (BCN/LEBL)","Budapest / Franz Liszt International (BUD/LHBP)",16:55:00,19:35:00,02:40:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-DWI,33F,1,1,1,,239,429,668,231
2018-01-24,W62467,"Budapest / Franz Liszt International (BUD/LHBP)","Warsaw / Chopin (Okecie) (WAW/EPWA)",08:50:00,10:00:00,01:10:00,"Wizz Air (W6/WZZ)","Airbus A320 (A320)",HA-LYS,12A,1,1,1,,429,3142,859,27
2018-01-26,W61583,"Warsaw / Chopin (Okecie) (WAW/EPWA)","Bucharest / Henri Coanda (OTP/LROP)",10:15:00,13:00:00,01:45:00,"Wizz Air (W6/WZZ)","Airbus A320 (A320)",HA-LPS,29A,1,1,1,,3142,2230,859,27
2018-01-29,W62472,"Sofia / Sofia (SOF/LBSF)","Budapest / Franz Liszt International (BUD/LHBP)",20:35:00,21:00:00,01:25:00,"Wizz Air (W6/WZZ)","Airbus A321 (A321)",HA-LXG,20F,1,1,1,,2738,429,859,28
2018-01-31,FR8393,"Budapest / Franz Liszt International (BUD/LHBP)","Barcelona / El Prat (BCN/LEBL)",20:00:00,22:35:00,02:35:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-EVJ,21A,1,1,1,,429,239,668,231
2018-01-09,FR6267,"Barcelona / El Prat (BCN/LEBL)","Edinburgh / Edinburgh (EDI/EGPH)",10:45:00,12:45:00,03:00:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-EPD,33B,2,1,1,,239,785,668,231
2018-01-12,FR6266,"Edinburgh / Edinburgh (EDI/EGPH)","Barcelona / El Prat (BCN/LEBL)",06:20:00,10:00:00,02:40:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-EBS,6A,1,1,1,,785,239,668,231
2018-04-12,FR8394,"Barcelona / El Prat (BCN/LEBL)","Budapest / Franz Liszt International (BUD/LHBP)",16:45:00,19:25:00,02:40:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-FRN,1C,3,1,1,,239,429,668,231
2018-04-18,VY8803,"Budapest / Franz Liszt International (BUD/LHBP)","Barcelona / El Prat (BCN/LEBL)",22:05:00,00:40:00,02:35:00,"Vueling Airlines (VY/VLG)","Airbus A320-200 (A320)",EC-HQJ,7E,1,1,1,,429,239,839,2059
2018-07-15,VY8300,"Barcelona / El Prat (BCN/LEBL)","Amsterdam / Schiphol (AMS/EHAM)",07:10:00,09:35:00,02:25:00,"Vueling Airlines (VY/VLG)","Airbus A321 (A321)",EC-MMU,18E,2,1,1,,239,122,839,28
2018-07-22,VY8305,"Amsterdam / Schiphol (AMS/EHAM)","Barcelona / El Prat (BCN/LEBL)",21:45:00,23:59:00,02:14:00,"Vueling Airlines (VY/VLG)","Airbus A321 (A321)",EC-MLD,3F,1,1,1,,122,239,839,28
2018-08-13,D85576,"Barcelona / El Prat (BCN/LEBL)","Billund / Billund (BLL/EKBI)",16:00:00,18:45:00,02:45:00,"Norwegian Air International (D8/IBK)","Boeing 737-800 (B738)",EI-FHU,20A,1,1,4,,239,345,1644,231
2019-04-10,FR7620,"Copenhagen / Kastrup (CPH/EKCH)","Kaunas / Kaunas (KUN/EYKA)",12:10:00,14:35:00,01:30:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-DYO,12C,3,1,1,,606,3627,668,231
2019-04-24,FR7621,"Kaunas / Kaunas (KUN/EYKA)","Copenhagen / Kastrup (CPH/EKCH)",06:25:00,06:50:00,01:35:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-EFY,04C,3,1,1,,3627,606,668,231
2019-04-12,FR5103,"Vilnius / Vilnius (VNO/EYVI)","Amman / Queen Alia (AMM/OJAI)",08:40:00,11:35:00,04:10:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-EKP,28A,1,1,1,,3600,118,668,231
2019-04-22,FR5102,"Amman / Queen Alia (AMM/OJAI)","Vilnius / Vilnius (VNO/EYVI)",18:35:00,23:59:00,04:54:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-EVY,28A,1,1,1,,118,3600,668,231
2019-07-10,VY1873,"Copenhagen / Kastrup (CPH/EKCH)","Barcelona / El Prat (BCN/LEBL)",17:25:00,20:25:00,03:00:00,"Vueling Airlines (VY/VLG)","Airbus A321 (A321)",EC-MGY,34F,1,1,1,,606,239,839,28
2019-08-08,FR9002,"Girona / Costa Brava (GRO/LEGE)","Billund / Billund (BLL/EKBI)",17:30:00,20:15:00,02:45:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-EKN,28A,1,1,1,,1039,345,668,231
2020-03-04,W65032,"Billund / Billund (BLL/EKBI)","Krakow / John Paul II International (KRK/EPKK)",22:25:00,00:05:00,01:40:00,"Wizz Air (W6/WZZ)","Airbus A321 (A321)",HA-LXF,19F,1,1,1,,345,1489,859,28
2020-03-09,SK1736,"Krakow / John Paul II International (KRK/EPKK)","Copenhagen / Kastrup (CPH/EKCH)",13:15:00,14:45:00,01:30:00,"Scandinavian Airlines (SK/SAS)","Airbus A320neo (A20N)",LN-RGN,09A,1,1,1,,1489,606,677,2127
2020-01-06,FR409,"Cologne / Cologne-Bonn (CGN/EDDK)","Copenhagen / Kastrup (CPH/EKCH)",06:35:00,08:05:00,01:30:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",9H-QDC,29A,1,1,1,,535,606,668,231
2021-07-02,VY1873,"Copenhagen / Kastrup (CPH/EKCH)","Barcelona / El Prat (BCN/LEBL)",20:15:00,23:15:00,03:00:00,"Vueling Airlines (VY/VLG)","Airbus A320 (A320)",EC-LVU,23F,1,1,1,,606,239,839,27
2021-07-18,IB8470,"Barcelona / El Prat (BCN/LEBL)","Leon / Leon (LEN/LELN)",13:30:00,14:55:00,01:25:00,"Iberia (IB/IBE)","Bombardier CRJ-1000 (CRJX)",EC-MJO,8C,3,1,1,,239,4978,377,2071
2021-07-30,VY1870,"Barcelona / El Prat (BCN/LEBL)","Copenhagen / Kastrup (CPH/EKCH)",07:10:00,10:15:00,03:05:00,"Vueling Airlines (VY/VLG)","Airbus A320 (A320)",EC-MBS,22A,1,1,1,,239,606,839,27
2021-10-21,VY1873,"Copenhagen / Kastrup (CPH/EKCH)","Barcelona / El Prat (BCN/LEBL)",17:15:00,20:15:00,03:00:00,"Vueling Airlines (VY/VLG)","Airbus A321 (A321)",EC-MMH,33A,1,1,1,,606,239,839,28
2021-10-28,DY3657,"Barcelona / El Prat (BCN/LEBL)","Copenhagen / Kastrup (CPH/EKCH)",12:40:00,15:40:00,03:00:00,"Norwegian Air Shuttle (DY/NAX)","Boeing 737-800 (B738)",SE-RPJ,19D,3,1,1,,239,606,552,231
2021-12-18,FI205,"Copenhagen / Kastrup (CPH/EKCH)","Keflavik / Keflavik (KEF/BIKF)",13:10:00,15:25:00,04:15:00,"Icelandair (FI/ICE)","Boeing 757-200 (B752)",TF-FIO,21F,1,1,1,,606,1400,381,241
2021-12-23,FI212,"Keflavik / Keflavik (KEF/BIKF)","Copenhagen / Kastrup (CPH/EKCH)",14:00:00,18:15:00,02:15:00,"Icelandair (FI/ICE)","Boeing 737 MAX 8 (B38M)",TF-ICY,26F,1,1,1,,1400,606,381,2123
2021-12-24,D83656,"Copenhagen / Kastrup (CPH/EKCH)","Barcelona / El Prat (BCN/LEBL)",08:45:00,11:35:00,02:50:00,"Norwegian Air International (D8/IBK)","Boeing 737-800 (B738)",SE-RRJ,26F,1,1,1,,606,239,1644,231
2022-01-01,VY1880,"Barcelona / El Prat (BCN/LEBL)","Billund / Billund (BLL/EKBI)",12:15:00,15:10:00,02:55:00,"Vueling Airlines (VY/VLG)","Airbus A320 (A320)",EC-KLT,26A,1,1,1,,239,345,839,27
2022-02-28,SK1244,"Aarhus / Tirstrup (AAR/EKAH)","Copenhagen / Kastrup (CPH/EKCH)",09:35:00,10:15:00,00:40:00,"Scandinavian Airlines (SK/SAS)","ATR 72-600 (AT76)",ES-ATH,5A,1,1,2,,8,606,677,2105
2022-02-28,SQ353,"Copenhagen / Kastrup (CPH/EKCH)","Singapore / Changi (SIN/WSSS)",12:30:00,07:30:00,13:00:00,"Singapore Airlines (SQ/SIA)","Airbus A350-900 (A359)",9V-SMT,53A,1,1,2,,606,2672,703,2110
2022-04-30,3K555,"Singapore / Changi (SIN/WSSS)","Hochiminh / Tan Son Nhat (SGN/VVTS)",07:10:00,08:15:00,02:05:00,"Jetstar Asia Airways (3K/JSA)","Airbus A320 (A320)",9V-JSQ,21D,3,1,1,,2672,2650,1171,27
2022-05-04,TR303,"Hochiminh / Tan Son Nhat (SGN/VVTS)","Singapore / Changi (SIN/WSSS)",17:20:00,20:25:00,02:10:00,"Scoot (TR/TGW)","Airbus A321neo (A21N)",9V-NCB,34F,1,1,1,,2650,2672,2695,2128
2022-05-13,TR466,"Singapore / Changi (SIN/WSSS)","Kuala Lumpur / Kuala Lumpur International (KUL/WMKK)",19:30:00,20:35:00,01:05:00,"Scoot (TR/TGW)","Boeing 787-9 (B789)",9V-OJB,25B,2,1,1,,2672,1527,2695,2088
2022-05-17,TR473,"Kuala Lumpur / Kuala Lumpur International (KUL/WMKK)","Singapore / Changi (SIN/WSSS)",19:30:00,20:35:00,01:05:00,"Scoot (TR/TGW)","Boeing 787-9 (B789)",9V-OJE,24K,1,1,1,,1527,2672,2695,2088
2022-07-09,TR686,"Singapore / Changi (SIN/WSSS)","Krabi / Krabi (KBV/VTSG)",11:35:00,12:15:00,01:40:00,"Scoot (TR/TGW)","Airbus A320 (A320)",9V-TAZ,31F,1,1,1,,2672,3562,2695,27
2022-07-13,TR687,"Krabi / Krabi (KBV/VTSG)","Singapore / Changi (SIN/WSSS)",13:25:00,16:00:00,01:25:00,"Scoot (TR/TGW)","Airbus A320neo (A20N)",9V-TNF,3F,1,1,1,,3562,2672,2695,2127
2022-05-31,QZ505,"Singapore / Changi (SIN/WSSS)","Denpasar Bali / Ngurah Rai (DPS/WADD)",12:15:00,15:05:00,02:50:00,"Indonesia AirAsia (QZ/AWQ)","Airbus A320 (A320)",PK-AZE,23F,1,1,1,,2672,3582,1078,27
2022-06-06,IW1863,"Lombok / Lombok International (LOP/WADL)","Denpasar Bali / Ngurah Rai (DPS/WADD)",08:20:00,09:00:00,00:40:00,"Wings Air (IW/WON)","ATR 72-600 (AT76)",PK-WHH,4F,1,1,1,,4890,3582,1427,2105
2022-06-06,IW1830,"Denpasar Bali / Ngurah Rai (DPS/WADD)","Labuan Bajo / Komodo (LBJ/WATO)",11:30:00,13:05:00,01:30:00,"Wings Air (IW/WON)","ATR 72-600 (AT76)",PK-WGG,5F,1,1,1,,3582,3747,1427,2105
2022-06-12,JT811,"Labuan Bajo / Komodo (LBJ/WATO)","Surabaya / Juanda (SUB/WARR)",10:10:00,10:40:00,01:30:00,"Lion Airlines (JT/LNI)","Boeing 737-800 (B738)",PK-LKH,8A,1,1,1,,3747,3748,480,231
2022-06-15,3K248,"Surabaya / Juanda (SUB/WARR)","Singapore / Changi (SIN/WSSS)",13:20:00,16:40:00,02:20:00,"Jetstar Asia Airways (3K/JSA)","Airbus A320 (A320)",9V-JSR,28A,1,1,1,,3748,2672,1171,27
2022-07-22,AK1772,"Singapore / Changi (SIN/WSSS)","Kuching / Kuching (KCH/WBGG)",23:00:00,00:30:00,01:30:00,"Air Asia (AK/AXM)","Airbus A320 (A320)",9M-RAO,22E,2,1,1,,2672,1392,103,27
2022-07-24,AK1771,"Kuching / Kuching (KCH/WBGG)","Singapore / Changi (SIN/WSSS)",20:45:00,22:20:00,01:35:00,"Air Asia (AK/AXM)","Airbus A320 (A320)",9M-RAO,11D,3,1,1,,1392,2672,103,27
2022-08-06,TR300,"Singapore / Changi (SIN/WSSS)","Hanoi / Noibai (HAN/VVNB)",09:55:00,12:30:00,03:35:00,"Scoot (TR/TGW)","Airbus A321neo (A21N)",9V-NCF,2F,1,1,1,,2672,1094,2695,2128
2022-08-10,TR301,"Hanoi / Noibai (HAN/VVNB)","Singapore / Changi (SIN/WSSS)",13:10:00,17:45:00,03:35:00,"Scoot (TR/TGW)","Airbus A321neo (A21N)",9V-NCI,10B,2,1,1,,1094,2672,2695,2128
2022-08-28,EK355,"Singapore / Changi (SIN/WSSS)","Dubai / Dubai International (DXB/OMDB)",21:40:00,00:50:00,07:10:00,"Emirates (EK/UAE)","Airbus A380-800 (A388)",A6-EOB,48K,1,1,2,,2672,768,807,39
2022-08-31,EK151,"Dubai / Dubai International (DXB/OMDB)","Copenhagen / Kastrup (CPH/EKCH)",08:20:00,13:15:00,06:55:00,"Emirates (EK/UAE)","Boeing 777-300ER (B77W)",A6-ENS,42K,1,1,2,,768,606,807,2023
2022-08-19,TR492,"Singapore / Changi (SIN/WSSS)","Kota Kinabalu / Kota Kinabalu (BKI/WBKK)",18:25:00,20:50:00,02:25:00,"Scoot (TR/TGW)","Airbus A321neo (A21N)",9V-NCB,39F,1,1,1,,2672,329,2695,2128
2022-08-21,TR493,"Kota Kinabalu / Kota Kinabalu (BKI/WBKK)","Singapore / Changi (SIN/WSSS)",19:50:00,22:00:00,02:10:00,"Scoot (TR/TGW)","Airbus A320neo (A20N)",9V-TNC,16F,1,1,1,,329,2672,2695,2127
2022-10-29,VY1881,"Billund / Billund (BLL/EKBI)","Barcelona / El Prat (BCN/LEBL)",19:00:00,21:50:00,02:50:00,"Vueling Airlines (VY/VLG)","Airbus A320neo (A20N)",EC-NAJ,26F,1,1,1,,345,239,839,2127
2022-12-01,BA807,"Billund / Billund (BLL/EKBI)","London / Heathrow (LHR/EGLL)",20:05:00,20:55:00,01:55:00,"British Airways (BA/BAW)","Airbus A320 (A320)",G-EUUF,19A,1,1,1,,345,1618,113,27
2022-12-04,BA806,"London / Heathrow (LHR/EGLL)","Billund / Billund (BLL/EKBI)",17:55:00,20:35:00,01:40:00,"British Airways (BA/BAW)","Airbus A320 (A320)",G-MIDO,30A,2,1,1,,1618,345,113,27
2022-11-11,D83657,"Barcelona / El Prat (BCN/LEBL)","Copenhagen / Kastrup (CPH/EKCH)",12:30:00,15:30:00,03:00:00,"Norwegian Air International (D8/IBK)","Boeing 737-800 (B738)",SE-RXB,24F,1,1,1,,239,606,1644,231
2023-03-02,EW4211,"Copenhagen / Kastrup (CPH/EKCH)","Prague / Praha-Ruzyne (PRG/LKPR)",20:20:00,21:45:00,01:25:00,"Eurowings (EW/EWG)","Airbus A320 (A320)",9H-EUL,17C,3,1,1,,606,2398,282,27
2023-03-06,BT482,"Prague / Praha-Ruzyne (PRG/LKPR)","Riga / Riga (RIX/EVRA)",14:20:00,17:05:00,01:45:00,"AirBaltic (BT/BTI)","Bombardier CS300 (BCS3)",YL-CSM,30A,1,1,1,,2398,3623,154,2113
2023-03-07,BT139,"Riga / Riga (RIX/EVRA)","Copenhagen / Kastrup (CPH/EKCH)",18:50:00,19:20:00,01:30:00,"AirBaltic (BT/BTI)","Bombardier CS300 (BCS3)",YL-AAS,28F,1,1,1,,3623,606,154,2113
2023-03-31,AI158,"Copenhagen / Kastrup (CPH/EKCH)","Delhi / Indira Gandhi (DEL/VIDP)",20:45:00,07:35:00,07:50:00,"Air India (AI/AIC)","Boeing 787-8 (B788)",VT-ANT,34J,1,1,1,,606,689,43,2087
